region,country,decade,medium_group,n_objects
Asia,China,1400,Decorative arts,10
Asia,China,1400,Other,5
Asia,China,1400,Paintings,7
Asia,China,1400,Sculpture,4
Asia,China,1400,Textiles,1
Asia,China,1420,Decorative arts,11
Asia,China,1420,Paintings,3
Asia,China,1440,Paintings,2
Asia,China,1450,Paintings,3
Asia,China,1460,Decorative arts,3
Asia,China,1460,Paintings,3
Asia,China,1470,Decorative arts,2
Asia,China,1470,Paintings,2
Asia,China,1480,Decorative arts,2
Asia,China,1480,Paintings,4
Asia,China,1490,Paintings,13
Asia,China,1490,Textiles,1
Asia,China,1500,Decorative arts,9
Asia,China,1500,Other,3
Asia,China,1500,Paintings,8
Asia,China,1500,Sculpture,5
Asia,China,1500,Textiles,1
Asia,China,1510,Paintings,2
Asia,China,1520,Decorative arts,13
Asia,China,1520,Other,2
Asia,China,1520,Paintings,1
Asia,China,1530,Paintings,3
Asia,China,1540,Paintings,3
Asia,China,1540,Prints,1
Asia,China,1550,Other,1
Asia,China,1550,Paintings,1
Asia,China,1560,Paintings,1
Asia,China,1570,Decorative arts,20
Asia,China,1570,Other,3
Asia,China,1570,Paintings,4
Asia,China,1580,Decorative arts,1
Asia,China,1580,Other,14
Asia,China,1580,Paintings,19
Asia,China,1580,Textiles,1
Asia,China,1590,Paintings,26
Asia,China,1600,Decorative arts,19
Asia,China,1600,Other,9
Asia,China,1600,Paintings,10
Asia,China,1600,Textiles,2
Asia,China,1610,Paintings,2
Asia,China,1620,Decorative arts,10
Asia,China,1620,Drawings,1
Asia,China,1620,Other,2
Asia,China,1620,Paintings,5
Asia,China,1620,Prints,10
Asia,China,1630,Decorative arts,1
Asia,China,1630,Paintings,5
Asia,China,1630,Prints,19
Asia,China,1630,Textiles,1
Asia,China,1640,Decorative arts,110
Asia,China,1640,Other,53
Asia,China,1640,Paintings,23
Asia,China,1640,Sculpture,2
Asia,China,1640,Textiles,12
Asia,China,1650,Decorative arts,5
Asia,China,1650,Drawings,1
Asia,China,1650,Other,2
Asia,China,1650,Paintings,16
Asia,China,1650,Textiles,1
Asia,China,1660,Decorative arts,230
Asia,China,1660,Other,4
Asia,China,1660,Paintings,13
Asia,China,1660,Prints,12
Asia,China,1660,Sculpture,6
Asia,China,1670,Other,2
Asia,China,1670,Paintings,13
Asia,China,1670,Sculpture,3
Asia,China,1680,Decorative arts,3
Asia,China,1680,Paintings,14
Asia,China,1680,Textiles,4
Asia,China,1690,Decorative arts,1
Asia,China,1690,Paintings,16
Asia,China,1700,Decorative arts,30
Asia,China,1700,Other,56
Asia,China,1700,Paintings,32
Asia,China,1700,Prints,32
Asia,China,1700,Sculpture,4
Asia,China,1700,Textiles,55
Asia,China,1710,Decorative arts,2
Asia,China,1710,Paintings,2
Asia,China,1720,Decorative arts,65
Asia,China,1720,Other,2
Asia,China,1720,Paintings,1
Asia,China,1720,Prints,3
Asia,China,1720,Sculpture,9
Asia,China,1730,Decorative arts,79
Asia,China,1730,Other,82
Asia,China,1730,Paintings,6
Asia,China,1730,Prints,63
Asia,China,1730,Textiles,24
Asia,China,1740,Decorative arts,20
Asia,China,1740,Paintings,17
Asia,China,1740,Prints,1
Asia,China,1750,Decorative arts,27
Asia,China,1750,Other,2
Asia,China,1750,Paintings,2
Asia,China,1750,Prints,6
Asia,China,1750,Textiles,1
Asia,China,1760,Decorative arts,12
Asia,China,1760,Other,1
Asia,China,1760,Paintings,2
Asia,China,1760,Prints,14
Asia,China,1760,Textiles,4
Asia,China,1770,Decorative arts,15
Asia,China,1770,Other,18
Asia,China,1770,Paintings,14
Asia,China,1770,Textiles,3
Asia,China,1780,Decorative arts,14
Asia,China,1780,Other,11
Asia,China,1780,Paintings,14
Asia,China,1780,Textiles,1
Asia,China,1790,Decorative arts,332
Asia,China,1790,Drawings,4
Asia,China,1790,Other,11
Asia,China,1790,Paintings,1
Asia,China,1790,Prints,8
Asia,China,1790,Sculpture,1
Asia,China,1790,Textiles,3
Asia,China,1800,Decorative arts,90
Asia,China,1800,Drawings,21
Asia,China,1800,Other,105
Asia,China,1800,Paintings,18
Asia,China,1800,Sculpture,5
Asia,China,1800,Textiles,75
Asia,China,1810,Decorative arts,32
Asia,China,1810,Other,2
Asia,China,1810,Paintings,2
Asia,China,1820,Decorative arts,11
Asia,China,1820,Other,7
Asia,China,1820,Paintings,13
Asia,China,1820,Prints,1
Asia,China,1830,Decorative arts,46
Asia,China,1830,Other,2
Asia,China,1830,Textiles,2
Asia,China,1840,Decorative arts,3
Asia,China,1840,Drawings,1
Asia,China,1840,Other,3
Asia,China,1840,Paintings,1
Asia,China,1840,Textiles,1
Asia,China,1850,Decorative arts,6
Asia,China,1850,Other,1
Asia,China,1850,Textiles,4
Asia,China,1860,Decorative arts,159
Asia,China,1860,Paintings,1
Asia,China,1860,Photographs,1
Asia,China,1870,Decorative arts,1
Asia,China,1870,Other,4
Asia,China,1870,Paintings,8
Asia,China,1870,Photographs,1
Asia,China,1870,Textiles,7
Asia,China,1880,Decorative arts,1
Asia,China,1880,Other,17
Asia,China,1880,Paintings,1
Asia,China,1880,Prints,1
Asia,China,1880,Sculpture,5
Asia,China,1880,Textiles,11
Asia,China,1890,Decorative arts,6
Asia,China,1890,Other,17
Asia,China,1890,Paintings,5
Asia,China,1890,Sculpture,7
Asia,China,1890,Textiles,8
Asia,China,1900,Decorative arts,34
Asia,China,1900,Other,143
Asia,China,1900,Paintings,3
Asia,China,1900,Photographs,2
Asia,China,1900,Sculpture,15
Asia,China,1900,Textiles,16
Asia,China,1910,Decorative arts,4
Asia,China,1910,Other,10
Asia,China,1910,Textiles,1
Asia,China,1920,Decorative arts,2
Asia,China,1920,Other,2
Asia,China,1920,Prints,1
Asia,China,1940,Other,1
Asia,China,1940,Paintings,1
Asia,China,1940,Photographs,1
Asia,China,1950,Other,3
Asia,China,1950,Paintings,1
Asia,China,1950,Photographs,7
Asia,China,1950,Prints,1
Asia,China,1950,Textiles,1
Asia,China,1960,Paintings,13
Asia,China,1960,Photographs,6
Asia,China,1960,Prints,2
Asia,China,1970,Photographs,1
Asia,China,1980,Photographs,1
Asia,China,1980,Prints,4
Asia,China,1990,Other,1
Asia,China,1990,Paintings,1
Asia,China,1990,Photographs,44
Asia,China,1990,Prints,6
Asia,China,1990,Sculpture,1
Asia,China,2000,Decorative arts,1
Asia,China,2000,Drawings,1
Asia,China,2000,Other,5
Asia,China,2000,Paintings,3
Asia,China,2000,Photographs,9
Asia,China,2000,Prints,2
Asia,China,2000,Sculpture,1
Asia,China,2000,Textiles,5
Asia,China,2010,Drawings,1
Asia,China,2010,Other,1
Asia,China,2010,Paintings,13
Asia,China,2010,Photographs,1
Asia,China,2010,Prints,16
Asia,China,2010,Textiles,1
Asia,China,2020,Paintings,2
Asia,China,2020,Photographs,1
Asia,China,2020,Prints,1
Asia,India,1400,Other,10
Asia,India,1400,Textiles,12
Asia,India,1420,Drawings,1
Asia,India,1420,Paintings,1
Asia,India,1460,Drawings,9
Asia,India,1470,Drawings,4
Asia,India,1490,Drawings,5
Asia,India,1490,Sculpture,1
Asia,India,1500,Paintings,1
Asia,India,1500,Prints,1
Asia,India,1500,Sculpture,8
Asia,India,1500,Textiles,1
Asia,India,1520,Drawings,1
Asia,India,1520,Other,2
Asia,India,1520,Paintings,1
Asia,India,1550,Drawings,95
Asia,India,1550,Paintings,4
Asia,India,1560,Textiles,1
Asia,India,1570,Drawings,1
Asia,India,1570,Other,1
Asia,India,1580,Other,1
Asia,India,1580,Paintings,8
Asia,India,1590,Drawings,11
Asia,India,1590,Other,6
Asia,India,1590,Paintings,12
Asia,India,1590,Prints,2
Asia,India,1590,Textiles,3
Asia,India,1600,Drawings,1
Asia,India,1600,Other,11
Asia,India,1600,Paintings,15
Asia,India,1600,Textiles,10
Asia,India,1610,Drawings,6
Asia,India,1610,Paintings,6
Asia,India,1620,Drawings,25
Asia,India,1620,Other,11
Asia,India,1620,Paintings,3
Asia,India,1620,Sculpture,2
Asia,India,1620,Textiles,4
Asia,India,1630,Drawings,17
Asia,India,1630,Other,2
Asia,India,1630,Paintings,5
Asia,India,1640,Drawings,23
Asia,India,1640,Other,13
Asia,India,1640,Paintings,9
Asia,India,1650,Decorative arts,1
Asia,India,1650,Drawings,13
Asia,India,1650,Other,15
Asia,India,1650,Paintings,3
Asia,India,1650,Textiles,4
Asia,India,1660,Drawings,12
Asia,India,1660,Other,3
Asia,India,1660,Paintings,1
Asia,India,1660,Textiles,2
Asia,India,1670,Drawings,5
Asia,India,1670,Other,10
Asia,India,1670,Paintings,6
Asia,India,1670,Prints,4
Asia,India,1670,Sculpture,1
Asia,India,1670,Textiles,9
Asia,India,1680,Drawings,4
Asia,India,1680,Other,2
Asia,India,1680,Paintings,2
Asia,India,1680,Textiles,3
Asia,India,1690,Drawings,31
Asia,India,1690,Other,33
Asia,India,1690,Paintings,5
Asia,India,1690,Prints,9
Asia,India,1690,Sculpture,2
Asia,India,1690,Textiles,26
Asia,India,1700,Decorative arts,6
Asia,India,1700,Drawings,9
Asia,India,1700,Other,58
Asia,India,1700,Paintings,8
Asia,India,1700,Prints,6
Asia,India,1700,Textiles,29
Asia,India,1710,Drawings,1
Asia,India,1710,Paintings,5
Asia,India,1720,Decorative arts,1
Asia,India,1720,Drawings,10
Asia,India,1720,Other,8
Asia,India,1720,Paintings,3
Asia,India,1720,Prints,5
Asia,India,1720,Textiles,4
Asia,India,1730,Drawings,1
Asia,India,1730,Paintings,6
Asia,India,1740,Drawings,2
Asia,India,1740,Paintings,8
Asia,India,1740,Textiles,1
Asia,India,1750,Decorative arts,4
Asia,India,1750,Drawings,3
Asia,India,1750,Other,63
Asia,India,1750,Paintings,22
Asia,India,1750,Sculpture,1
Asia,India,1750,Textiles,3
Asia,India,1760,Paintings,10
Asia,India,1760,Prints,1
Asia,India,1770,Drawings,6
Asia,India,1770,Other,2
Asia,India,1770,Paintings,6
Asia,India,1770,Prints,3
Asia,India,1780,Drawings,2
Asia,India,1780,Other,1
Asia,India,1780,Paintings,4
Asia,India,1780,Prints,2
Asia,India,1780,Textiles,5
Asia,India,1790,Decorative arts,3
Asia,India,1790,Drawings,26
Asia,India,1790,Other,40
Asia,India,1790,Paintings,11
Asia,India,1790,Prints,35
Asia,India,1790,Sculpture,1
Asia,India,1790,Textiles,65
Asia,India,1800,Drawings,9
Asia,India,1800,Other,17
Asia,India,1800,Paintings,6
Asia,India,1800,Prints,16
Asia,India,1800,Sculpture,1
Asia,India,1800,Textiles,112
Asia,India,1810,Drawings,2
Asia,India,1810,Paintings,6
Asia,India,1810,Textiles,2
Asia,India,1820,Drawings,16
Asia,India,1820,Other,7
Asia,India,1820,Paintings,3
