origin_country,region,museum,n_objects,is_unknown_origin
(Probably American),Unknown,NGA,74,False
(Southern?) France,Unknown,CMA,1,False
18Th Century,Unknown,CMA,1,False
19Th Century,Unknown,CMA,14,False
19Th Century (Forgery),Unknown,CMA,1,False
Adriatic,Unknown,MET,1,False
Aegean,Unknown,CMA,1,False
Afghanistan,Unknown,CMA,48,False
Afghanistan,Unknown,MET,127,False
Afghanistan Or Central Asia,Unknown,MET,1,False
Afghanistan Or Iran,Unknown,CMA,2,False
Afghanistan Or Iran,Unknown,MET,1,False
Afghanistan Or Italy,Unknown,MET,1,False
Afghanistan Or Northeastern Iran,Unknown,MET,2,False
Afghanistan Or Pakistan,Unknown,CMA,3,False
Afghanistan Or Turkmenistan,Unknown,MET,2,False
Africa,Unknown,CMA,484,False
Africa,Unknown,MET,1,False
Africa; West Africa; Mali,Unknown,CMA,1,False
Africa?,Unknown,CMA,1,False
After The Tairona Style,Unknown,CMA,1,False
Akimel O'Odham (Pima),Unknown,CMA,1,False
Alamania,Unknown,MET,8,False
Albania,Unknown,CMA,3,False
Albania,Unknown,MET,3,False
Albanian,Unknown,NGA,3,False
Alemannic,Unknown,CMA,7,False
Algeria,Unknown,CMA,7,False
Algeria,Unknown,MET,80,False
Algeria Or Morocco,Unknown,MET,5,False
Algeria Or Tunisia,Unknown,MET,1,False
"Algeria, Tunesia, Or Morocco",Unknown,MET,1,False
"Algeria, Tunisia, Or Morocco",Unknown,MET,1,False
Algeria?,Unknown,MET,1,False
Amazonia,Unknown,CMA,2,False
Ameirca,Unknown,CMA,2,False
America ?,Unknown,CMA,1,False
America And Canada,Unknown,CMA,1,False
America And England,Unknown,CMA,97,False
America Or Canada,Unknown,CMA,2,False
America Or England,Unknown,CMA,3,False
Americca,Unknown,CMA,1,False
Anatolia,Unknown,CMA,24,False
Anatolia Or Northern Mesopotamia,Unknown,CMA,2,False
Andes,Unknown,CMA,11,False
Anglo-Norman,Unknown,CMA,1,False
Anglo-Norman?,Unknown,CMA,1,False
Anglo-Saxon,Unknown,CMA,2,False
Angola,Unknown,MET,37,False
