region,country,type_group,n_objects,share_within_region
Asia,China,Aerophone-Blow Hole-end-blown flute (vertical),8,0.0007063393960798164
Asia,China,Aerophone-Blow Hole-side-blown flute (transverse),6,0.0005297545470598623
Asia,China,Aerophone-Blow Hole-vessel flute,5,0.0004414621225498852
Asia,China,Aerophone-Free Reed-mouth organ,2,0.0001765848490199541
Asia,China,Aerophone-Lip Vibrated-horn,2,0.0001765848490199541
Asia,China,Aerophone-Lip Vibrated-trumpet / trombone,10,0.0008829242450997704
Asia,China,Aerophone-Reed Vibrated-double reed,8,0.0007063393960798164
Asia,China,Aerophone-Whistle Flute-whistle,15,0.0013243863676496556
Asia,China,Arms and Armor,20,0.0017658484901995409
Asia,China,Bound Volume,6,0.0005297545470598623
Asia,China,Calligraphy,10,0.0008829242450997704
Asia,China,Ceramic,697,0.061539819883454
Asia,China,Ceramics,1,8.829242450997704e-05
Asia,China,Chordophone-Lute-bowed-unfretted,12,0.0010595090941197245
Asia,China,Chordophone-Lute-plucked-fretted,8,0.0007063393960798164
Asia,China,Chordophone-Lute-plucked-unfretted,6,0.0005297545470598623
Asia,China,Chordophone-Musical Bow,1,8.829242450997704e-05
Asia,China,Chordophone-Zither-bowed,1,8.829242450997704e-05
Asia,China,Chordophone-Zither-plucked,1,8.829242450997704e-05
Asia,China,Chordophone-Zither-plucked-long zither,7,0.0006180469715698393
Asia,China,Chordophone-Zither-struck-dulcimer,6,0.0005297545470598623
Asia,China,Codices,4,0.0003531696980399082
Asia,China,Codices|(not assigned),1,8.829242450997704e-05
Asia,China,Coins,1,8.829242450997704e-05
Asia,China,Decorative Art,236,0.020837012184354582
Asia,China,Drawings,3,0.00026487727352993113
Asia,China,Embroidery,34,0.0030019424333392196
Asia,China,Enamel,22,0.0019424333392194949
Asia,China,Furniture and woodwork,24,0.002119018188239449
Asia,China,Garment,54,0.00476779092353876
Asia,China,Glass,105,0.009270704573547589
Asia,China,Glyptic,1,8.829242450997704e-05
Asia,China,Idiophone-Concussion,10,0.0008829242450997704
Asia,China,Idiophone-Plucked / Depressed,1,8.829242450997704e-05
Asia,China,Idiophone-Scraped,1,8.829242450997704e-05
Asia,China,Idiophone-Shaken-crotal bell,2,0.0001765848490199541
Asia,China,Idiophone-Shaken-rattle,4,0.0003531696980399082
Asia,China,Idiophone-Struck,2,0.0001765848490199541
Asia,China,Idiophone-Struck-bar-stone,2,0.0001765848490199541
Asia,China,Idiophone-Struck-bell,4,0.0003531696980399082
Asia,China,Idiophone-Struck-bell-clapper,8,0.0007063393960798164
Asia,China,Idiophone-Struck-bell-without clapper,14,0.0012360939431396785
Asia,China,Idiophone-Struck-gong,9,0.0007946318205897933
Asia,China,Idiophone-Struck-slit drum,3,0.00026487727352993113
Asia,China,Ivory,20,0.0017658484901995409
Asia,China,Jade,220,0.01942433339219495
Asia,China,Jewelry,84,0.007416563658838072
Asia,China,Lacquer,46,0.004061451527458944
Asia,China,Membranophone-double-headed / barrel drum,4,0.0003531696980399082
Asia,China,Membranophone-double-headed / cylindrical drum,1,8.829242450997704e-05
Asia,China,Membranophone-double-headed / frame drum,6,0.0005297545470598623
Asia,China,Membranophone-double-headed / waisted drum,1,8.829242450997704e-05
Asia,China,Membranophone-single-headed / barrel drum,2,0.0001765848490199541
Asia,China,Membranophone-single-headed / cylindro-conical,1,8.829242450997704e-05
Asia,China,Membranophone-single-headed / frame drum,4,0.0003531696980399082
Asia,China,Membranophone-single-headed / kettle drum,1,8.829242450997704e-05
Asia,China,Metal,2,0.0001765848490199541
Asia,China,Metalwork,245,0.021631644004944377
Asia,China,Miscellaneous,97,0.008564365177467774
Asia,China,Mixed Media,5,0.0004414621225498852
