region,country,type_group,n_objects
Asia,Japan,Print,1459
Asia,China,Ceramic,697
Asia,Japan,Ceramic,677
Asia,China,Painting,595
Asia,Japan,Painting,500
Asia,Japan,Arms and Armor,477
Asia,India,Codices,420
Asia,Japan,Bound Volume,412
Asia,India,Jewelry,270
Asia,China,Metalwork,245
Asia,China,Decorative Art,236
Asia,China,Jade,220
Asia,India,Textile,217
Asia,China,Print,210
Asia,India,Painting,201
Asia,Korea,Ceramic,179
Asia,China,Textile,164
Asia,Japan,Photograph,148
Asia,Japan,Portfolio,146
Asia,Japan,Drawing,143
Asia,Korea,Metalwork,143
Asia,Japan,Lacquer,142
Asia,China,Sculpture,139
Asia,India,Photograph,133
Asia,Japan,Metalwork,132
Asia,Japan,Textile,129
Asia,India,Textiles-Woven,114
Asia,Japan,Sculpture,113
Asia,China,Glass,105
Asia,China,Miscellaneous,97
Asia,India,Textiles-Costumes,94
Asia,China,Jewelry,84
Asia,India,Textiles-Painted and/or Printed,79
Asia,China,Photograph,73
Asia,India,Sculpture,67
Asia,India,Metal,66
Asia,Korea,Painting,62
Asia,China,Garment,54
Asia,Japan,Miscellaneous,51
Asia,China,Lacquer,46
Asia,India,Textiles-Embroidered,43
Asia,Japan,Ivory,42
Asia,India,Embroidery,40
Asia,India,Arms and Armor,39
Asia,India,Coins,36
Asia,China,Embroidery,34
Asia,India,Chordophone-Lute-plucked-fretted,34
Asia,India,Textiles,34
Asia,Japan,Enamel,34
Asia,Japan,Garment,33
Asia,India,Manuscript,31
Asia,China,Stone,28
Asia,India,Textiles-Brocades,25
Asia,Japan,Chordophone-Zither-plucked-long zither,25
Asia,China,Furniture and woodwork,24
Asia,India,Print,24
Asia,India,Wood,24
Asia,India,Stone,23
Asia,China,Enamel,22
Asia,China,Wood,22
Asia,Korea,Glass,22
Asia,China,Works on Paper,21
Asia,India,Textiles-Rugs,21
Asia,China,Arms and Armor,20
Asia,China,Ivory,20
Asia,Japan,Idiophone-Struck-bell-without clapper,20
Asia,Japan,Idiophone-Struck-gong,20
Asia,Japan,Calligraphy,19
Asia,India,Chordophone-Lute-plucked-unfretted,18
Asia,India,Drawing,18
Asia,India,Ivory,18
Asia,Korea,Sculpture,17
Asia,India,Main dress-Menswear,16
Asia,Japan,Embroidery,16
Asia,Japan,Manuscript,16
Asia,China,Aerophone-Whistle Flute-whistle,15
Asia,India,Photographs,15
Asia,Japan,Idiophone-Shaken-crotal bell,15
Asia,China,Idiophone-Struck-bell-without clapper,14
Asia,Japan,Aerophone-Blow Hole-end-blown flute (vertical),14
Asia,Japan,Netsuke,13
Asia,China,Chordophone-Lute-bowed-unfretted,12
Asia,India,Glass,12
Asia,Korea,Jewelry,12
Asia,India,Aerophone-Lip Vibrated-trumpet / trombone,11
Asia,India,Chordophone-Lute-bowed-unfretted,11
Asia,Japan,Musical Instrument,11
Asia,Japan,Wood,11
Asia,Korea,Garment,11
Asia,China,Aerophone-Lip Vibrated-trumpet / trombone,10
Asia,China,Calligraphy,10
Asia,China,Idiophone-Concussion,10
